positionId,type,entryPrice,closePrice,grossProfit,pips,balance,quantity,sl,tp,close_event,entry_dt,exit_dt,duration_min,win,exit_dow,exit_month,score,pattern,adx,htf
21,Sell,1.03605,1.03742,-75.27,-13.7,10135.550000000003,0.57,1.03742,1.03331,Stop-Loss-Zugriff,2025-02-06 09:30:00.171000+00:00,2025-02-06 14:40:42.146000+00:00,310.6995833333333,False,Thursday,2025-02,3,Bearish Engulfing,,
22,Sell,1.03251,1.03281,-5.23,-2.9999999999999996,10129.100000000002,0.18,1.03668,1.02416,Position geschlossen,2025-02-07 16:45:00.296000+00:00,2025-02-07 21:00:00.164000+00:00,254.9978,False,Friday,2025-02,3,Bearish Engulfing,,
23,Buy,1.1701,1.17337,150.5,32.699999999999996,10276.380000000003,0.54,1.16846,1.17337,Take-Profit-Zugriff,2025-06-26 07:15:00.368000+00:00,2025-06-26 08:33:13+00:00,78.21053333333333,True,Thursday,2025-06,3,Pin Bar (Hammer),,
24,Buy,1.17249,1.17076,-76.84,-17.3,10196.440000000002,0.52,1.17077,1.17592,Stop-Loss-Zugriff,2025-09-01 09:30:00.395000+00:00,2025-09-01 12:43:45.776000+00:00,193.75635,False,Monday,2025-09,3,Pin Bar (Hammer),,
25,Buy,1.17315,1.17443,61.03,12.8,10254.130000000003,0.56,1.17157,1.17629,Stop-Loss-Zugriff,2025-09-08 09:00:00.001000+00:00,2025-09-08 14:18:12.784000+00:00,318.21305,True,Monday,2025-09,3,Pin Bar (Hammer),,
26,Buy,1.1787,1.17916,29.65,4.6,10279.260000000002,0.76,1.17756,1.18097,Stop-Loss-Zugriff,2025-09-16 07:00:00.890000+00:00,2025-09-16 07:40:24.215000+00:00,40.388749999999995,True,Tuesday,2025-09,3,Pin Bar (Hammer),,
27,Sell,1.16146,1.16262,-75.83,-11.6,10198.850000000002,0.76,1.16259,1.1592,Stop-Loss-Zugriff,2025-10-09 07:30:00.169000+00:00,2025-10-09 09:55:44.236000+00:00,145.73444999999998,False,Thursday,2025-10,3,Bearish Engulfing,,
28,Sell,1.15661,1.15741,-35.25,-8.0,10160.520000000002,0.51,1.15833,1.15314,Position geschlossen,2025-10-13 12:30:00.239000+00:00,2025-10-13 21:50:07.997000+00:00,560.1293000000001,False,Monday,2025-10,3,Bearish Engulfing,,
29,Sell,1.16209,1.16201,4.2,0.8,10161.040000000003,0.61,1.16354,1.15919,Stop-Loss-Zugriff,2025-10-21 10:00:00.400000+00:00,2025-10-21 11:02:25.464000+00:00,62.41773333333333,True,Tuesday,2025-10,3,Bearish Engulfing,,
30,Sell,1.15099,1.1483,152.26,26.9,10309.340000000002,0.65,1.15233,1.14832,Take-Profit-Zugriff,2025-11-04 09:30:00+00:00,2025-11-04 12:23:50.209000+00:00,173.8368166666667,True,Tuesday,2025-11,3,Bearish Engulfing,,
31,Sell,1.1504,1.15175,-52.75,-13.5,10253.850000000002,0.45,1.15236,1.14649,Position geschlossen,2025-11-21 17:30:00.245000+00:00,2025-11-21 21:00:00.816000+00:00,210.00951666666666,False,Friday,2025-11,3,Bearish Engulfing,,
32,Buy,1.17588,1.17414,-77.06,-17.4,10173.690000000002,0.52,1.17415,1.17934,Stop-Loss-Zugriff,2025-12-11 16:15:01+00:00,2025-12-11 19:58:31.327000+00:00,223.50545,False,Thursday,2025-12,3,Pin Bar (Hammer),,
