07.01.2024 22:01:52.103 | Info | NEW TRADING DAY: 2024-01-07
08.01.2024 00:00:00.193 | Info | NEW TRADING DAY: 2024-01-08
08.01.2024 08:00:00.149 | Info | News Block active.
08.01.2024 08:15:00.075 | Info | News Block active.
08.01.2024 08:30:00.824 | Info | News Block active.
08.01.2024 08:45:00.585 | Info | News Block active.
08.01.2024 13:00:00.331 | Info | News Block active.
08.01.2024 13:15:00.153 | Info | News Block active.
08.01.2024 13:30:00.175 | Info | News Block active.
08.01.2024 13:45:00.278 | Info | News Block active.
08.01.2024 14:30:00.421 | Info | News Block active.
08.01.2024 14:45:00.303 | Info | News Block active.
08.01.2024 15:00:00.139 | Info | News Block active.
08.01.2024 15:15:00.108 | Info | News Block active.
09.01.2024 00:00:02.043 | Info | NEW TRADING DAY: 2024-01-09
09.01.2024 08:00:00.149 | Info | News Block active.
09.01.2024 08:15:00.100 | Info | News Block active.
09.01.2024 08:30:00.037 | Info | News Block active.
09.01.2024 08:45:00.407 | Info | News Block active.
09.01.2024 13:00:00.154 | Info | News Block active.
09.01.2024 13:15:00.159 | Info | News Block active.
09.01.2024 13:30:00.174 | Info | News Block active.
09.01.2024 13:45:00.216 | Info | News Block active.
09.01.2024 14:30:00.742 | Info | News Block active.
09.01.2024 14:45:00.170 | Info | News Block active.
09.01.2024 15:00:00.083 | Info | News Block active.
09.01.2024 15:15:00.181 | Info | News Block active.
10.01.2024 00:00:03.807 | Info | NEW TRADING DAY: 2024-01-10
10.01.2024 07:00:00.153 | Info | Wednesday Entry Block active.
10.01.2024 07:15:00.051 | Info | Wednesday Entry Block active.
10.01.2024 07:30:00.184 | Info | Wednesday Entry Block active.
10.01.2024 07:45:00.152 | Info | Wednesday Entry Block active.
10.01.2024 08:00:01.288 | Info | Wednesday Entry Block active.
10.01.2024 08:15:00.120 | Info | Wednesday Entry Block active.
10.01.2024 08:30:00.065 | Info | Wednesday Entry Block active.
10.01.2024 08:45:00.480 | Info | Wednesday Entry Block active.
10.01.2024 09:00:00.057 | Info | Wednesday Entry Block active.
10.01.2024 09:15:00.204 | Info | Wednesday Entry Block active.
10.01.2024 09:30:00.730 | Info | Wednesday Entry Block active.
10.01.2024 09:45:00.200 | Info | Wednesday Entry Block active.
10.01.2024 10:00:00.216 | Info | Wednesday Entry Block active.
10.01.2024 10:15:00.147 | Info | Wednesday Entry Block active.
10.01.2024 10:30:00.051 | Info | Wednesday Entry Block active.
10.01.2024 10:45:00.184 | Info | Wednesday Entry Block active.
10.01.2024 11:00:00.118 | Info | Wednesday Entry Block active.
10.01.2024 11:15:00.182 | Info | Wednesday Entry Block active.
10.01.2024 11:30:00.152 | Info | Wednesday Entry Block active.
10.01.2024 11:45:00.010 | Info | Wednesday Entry Block active.
10.01.2024 12:00:00.147 | Info | Wednesday Entry Block active.
10.01.2024 12:15:00.087 | Info | Wednesday Entry Block active.
10.01.2024 12:30:00.170 | Info | Wednesday Entry Block active.
10.01.2024 12:45:00.153 | Info | Wednesday Entry Block active.
10.01.2024 13:00:00.138 | Info | Wednesday Entry Block active.
10.01.2024 13:15:00.095 | Info | Wednesday Entry Block active.
10.01.2024 13:30:00.618 | Info | Wednesday Entry Block active.
10.01.2024 13:45:00.223 | Info | Wednesday Entry Block active.
10.01.2024 14:00:00.088 | Info | Wednesday Entry Block active.
10.01.2024 14:15:00.182 | Info | Wednesday Entry Block active.
10.01.2024 14:30:00.153 | Info | Wednesday Entry Block active.
10.01.2024 14:45:01.372 | Info | Wednesday Entry Block active.
10.01.2024 15:00:00.299 | Info | Wednesday Entry Block active.
10.01.2024 15:15:00.138 | Info | Wednesday Entry Block active.
10.01.2024 15:30:00.182 | Info | Wednesday Entry Block active.
10.01.2024 15:45:01.086 | Info | Wednesday Entry Block active.
10.01.2024 16:00:00.180 | Info | Wednesday Entry Block active.
10.01.2024 16:15:00.022 | Info | Wednesday Entry Block active.
10.01.2024 16:30:00.148 | Info | Wednesday Entry Block active.
10.01.2024 16:45:01.023 | Info | Wednesday Entry Block active.
10.01.2024 17:00:00.212 | Info | Wednesday Entry Block active.
10.01.2024 17:15:00.187 | Info | Wednesday Entry Block active.
10.01.2024 17:30:00.311 | Info | Wednesday Entry Block active.
10.01.2024 17:45:00.188 | Info | Wednesday Entry Block active.
10.01.2024 18:00:00.102 | Info | Wednesday Entry Block active.
10.01.2024 18:15:00.081 | Info | Wednesday Entry Block active.
10.01.2024 18:30:03.262 | Info | Wednesday Entry Block active.
10.01.2024 18:45:01.454 | Info | Wednesday Entry Block active.
10.01.2024 19:00:00.354 | Info | Wednesday Entry Block active.
10.01.2024 19:15:03.283 | Info | Wednesday Entry Block active.
10.01.2024 19:30:00.076 | Info | Wednesday Entry Block active.
10.01.2024 19:45:00.216 | Info | Wednesday Entry Block active.
11.01.2024 00:00:00.183 | Info | NEW TRADING DAY: 2024-01-11
11.01.2024 08:00:00.112 | Info | News Block active.
11.01.2024 08:15:02.358 | Info | News Block active.
11.01.2024 08:30:00.185 | Info | News Block active.
11.01.2024 08:45:00.249 | Info | News Block active.
11.01.2024 13:00:00.152 | Info | News Block active.
11.01.2024 13:15:00.332 | Info | News Block active.
11.01.2024 13:30:00.055 | Info | Spread too high: 3,10p
11.01.2024 13:45:02.953 | Info | News Block active.
11.01.2024 14:30:00.146 | Info | News Block active.
11.01.2024 14:45:00.087 | Info | News Block active.
11.01.2024 15:00:00.176 | Info | News Block active.
11.01.2024 15:15:00.040 | Info | News Block active.
12.01.2024 00:00:00.409 | Info | NEW TRADING DAY: 2024-01-12
12.01.2024 08:00:00.106 | Info | News Block active.
12.01.2024 08:15:02.239 | Info | News Block active.
12.01.2024 08:30:00.049 | Info | News Block active.
12.01.2024 08:45:00.219 | Info | News Block active.
12.01.2024 13:00:00.147 | Info | News Block active.
12.01.2024 13:15:00.163 | Info | News Block active.
12.01.2024 13:30:00.499 | Info | Spread too high: 1,90p
12.01.2024 13:45:00.245 | Info | News Block active.
12.01.2024 14:30:00.110 | Info | News Block active.
12.01.2024 14:45:00.153 | Info | News Block active.
12.01.2024 15:00:00.003 | Info | News Block active.
12.01.2024 15:15:00.099 | Info | News Block active.
14.01.2024 22:01:00.013 | Info | NEW TRADING DAY: 2024-01-14
15.01.2024 00:00:00.261 | Info | NEW TRADING DAY: 2024-01-15
15.01.2024 08:00:00.152 | Info | News Block active.
15.01.2024 08:15:00.144 | Info | News Block active.
15.01.2024 08:30:01.545 | Info | News Block active.
15.01.2024 08:45:00.074 | Info | News Block active.
15.01.2024 13:00:00.560 | Info | News Block active.
15.01.2024 13:15:00.198 | Info | News Block active.
15.01.2024 13:30:00.183 | Info | News Block active.
15.01.2024 13:45:00.234 | Info | News Block active.
15.01.2024 14:30:00.039 | Info | News Block active.
15.01.2024 14:45:00.287 | Info | News Block active.
15.01.2024 15:00:00.133 | Info | News Block active.
15.01.2024 15:15:00.109 | Info | News Block active.
16.01.2024 00:00:00.031 | Info | NEW TRADING DAY: 2024-01-16
16.01.2024 08:00:00.004 | Info | News Block active.
16.01.2024 08:15:00.156 | Info | News Block active.
16.01.2024 08:30:00.092 | Info | News Block active.
16.01.2024 08:45:00.220 | Info | News Block active.
16.01.2024 10:00:00.275 | Info | Spread too high: 0,60p
16.01.2024 13:00:00.858 | Info | News Block active.
16.01.2024 13:15:00.169 | Info | News Block active.
16.01.2024 13:30:00.016 | Info | News Block active.
16.01.2024 13:45:00.113 | Info | News Block active.
16.01.2024 14:30:00.209 | Info | News Block active.
16.01.2024 14:45:00.006 | Info | News Block active.
16.01.2024 15:00:00.148 | Info | News Block active.
16.01.2024 15:15:00.111 | Info | News Block active.
17.01.2024 00:00:02.698 | Info | NEW TRADING DAY: 2024-01-17
17.01.2024 07:00:00.046 | Info | Wednesday Entry Block active.
17.01.2024 07:15:00.052 | Info | Wednesday Entry Block active.
17.01.2024 07:30:00.075 | Info | Wednesday Entry Block active.
17.01.2024 07:45:00.149 | Info | Wednesday Entry Block active.
17.01.2024 08:00:00.236 | Info | Wednesday Entry Block active.
17.01.2024 08:15:00.031 | Info | Wednesday Entry Block active.
17.01.2024 08:30:00.240 | Info | Wednesday Entry Block active.
17.01.2024 08:45:00.191 | Info | Wednesday Entry Block active.
17.01.2024 09:00:00.185 | Info | Wednesday Entry Block active.
17.01.2024 09:15:00.178 | Info | Wednesday Entry Block active.
17.01.2024 09:30:00.006 | Info | Wednesday Entry Block active.
17.01.2024 09:45:00.289 | Info | Wednesday Entry Block active.
17.01.2024 10:00:00.040 | Info | Wednesday Entry Block active.
17.01.2024 10:15:00.145 | Info | Wednesday Entry Block active.
17.01.2024 10:30:00.053 | Info | Wednesday Entry Block active.
17.01.2024 10:45:02.133 | Info | Wednesday Entry Block active.
17.01.2024 11:00:00.164 | Info | Wednesday Entry Block active.
17.01.2024 11:15:00.404 | Info | Wednesday Entry Block active.
17.01.2024 11:30:00.175 | Info | Wednesday Entry Block active.
17.01.2024 11:45:00.101 | Info | Wednesday Entry Block active.
17.01.2024 12:00:01.659 | Info | Wednesday Entry Block active.
17.01.2024 12:15:00.683 | Info | Wednesday Entry Block active.
17.01.2024 12:30:00.103 | Info | Wednesday Entry Block active.
17.01.2024 12:45:00.614 | Info | Wednesday Entry Block active.
17.01.2024 13:00:00.179 | Info | Wednesday Entry Block active.
17.01.2024 13:15:00.124 | Info | Wednesday Entry Block active.
17.01.2024 13:30:00.124 | Info | Wednesday Entry Block active.
17.01.2024 13:45:00.177 | Info | Wednesday Entry Block active.
17.01.2024 14:00:00.120 | Info | Wednesday Entry Block active.
17.01.2024 14:15:00.103 | Info | Wednesday Entry Block active.
17.01.2024 14:30:00.137 | Info | Wednesday Entry Block active.
17.01.2024 14:45:00.077 | Info | Wednesday Entry Block active.
17.01.2024 15:00:00.261 | Info | Wednesday Entry Block active.
17.01.2024 15:15:00.115 | Info | Wednesday Entry Block active.
17.01.2024 15:30:00.112 | Info | Wednesday Entry Block active.
17.01.2024 15:45:00.141 | Info | Wednesday Entry Block active.
17.01.2024 16:00:00.146 | Info | Wednesday Entry Block active.
17.01.2024 16:15:00.124 | Info | Wednesday Entry Block active.
17.01.2024 16:30:00.644 | Info | Wednesday Entry Block active.
17.01.2024 16:45:00.158 | Info | Wednesday Entry Block active.
17.01.2024 17:00:00.151 | Info | Wednesday Entry Block active.
17.01.2024 17:15:00.286 | Info | Wednesday Entry Block active.
17.01.2024 17:30:00.801 | Info | Wednesday Entry Block active.
17.01.2024 17:45:00.206 | Info | Wednesday Entry Block active.
17.01.2024 18:00:00.182 | Info | Wednesday Entry Block active.
17.01.2024 18:15:00.306 | Info | Wednesday Entry Block active.
17.01.2024 18:30:00.718 | Info | Wednesday Entry Block active.
17.01.2024 18:45:00.202 | Info | Wednesday Entry Block active.
17.01.2024 19:00:00.200 | Info | Wednesday Entry Block active.
17.01.2024 19:15:00.294 | Info | Wednesday Entry Block active.
17.01.2024 19:30:00.118 | Info | Wednesday Entry Block active.
17.01.2024 19:45:03.502 | Info | Wednesday Entry Block active.
18.01.2024 00:00:00.101 | Info | NEW TRADING DAY: 2024-01-18
18.01.2024 08:00:00.279 | Info | News Block active.
18.01.2024 08:15:00.555 | Info | News Block active.
18.01.2024 08:30:00.680 | Info | News Block active.
18.01.2024 08:45:00.195 | Info | News Block active.
18.01.2024 13:00:00.255 | Info | News Block active.
18.01.2024 13:15:00.300 | Info | News Block active.
18.01.2024 13:30:00.120 | Info | Spread too high: 1,70p
18.01.2024 13:45:00.060 | Info | News Block active.
18.01.2024 14:30:00.194 | Info | News Block active.
18.01.2024 14:45:00.806 | Info | News Block active.
18.01.2024 15:00:00.149 | Info | News Block active.
18.01.2024 15:15:00.184 | Info | News Block active.
19.01.2024 00:00:01.139 | Info | NEW TRADING DAY: 2024-01-19
19.01.2024 08:00:00.146 | Info | News Block active.
19.01.2024 08:15:00.263 | Info | News Block active.
19.01.2024 08:30:00.353 | Info | News Block active.
19.01.2024 08:45:00.472 | Info | News Block active.
19.01.2024 13:00:00.181 | Info | News Block active.
19.01.2024 13:15:00.159 | Info | News Block active.
19.01.2024 13:30:00.189 | Info | News Block active.
19.01.2024 13:45:05.558 | Info | News Block active.
19.01.2024 14:30:00.195 | Info | News Block active.
19.01.2024 14:45:00.206 | Info | News Block active.
19.01.2024 15:00:00.127 | Info | Spread too high: 9,80p
19.01.2024 15:15:00.227 | Info | News Block active.
21.01.2024 22:01:00.012 | Info | NEW TRADING DAY: 2024-01-21
22.01.2024 00:00:00.404 | Info | NEW TRADING DAY: 2024-01-22
22.01.2024 08:00:00.103 | Info | News Block active.
22.01.2024 08:15:00.356 | Info | News Block active.
22.01.2024 08:30:00.319 | Info | News Block active.
22.01.2024 08:45:00.251 | Info | News Block active.
22.01.2024 13:00:00.144 | Info | News Block active.
22.01.2024 13:15:00.192 | Info | News Block active.
22.01.2024 13:30:00.096 | Info | News Block active.
22.01.2024 13:45:00.189 | Info | News Block active.
22.01.2024 14:30:00.521 | Info | News Block active.
22.01.2024 14:45:00.173 | Info | News Block active.
22.01.2024 15:00:00.176 | Info | News Block active.
22.01.2024 15:15:00.013 | Info | News Block active.
23.01.2024 00:00:03.946 | Info | NEW TRADING DAY: 2024-01-23
23.01.2024 08:00:00.317 | Info | News Block active.
23.01.2024 08:15:00.132 | Info | News Block active.
23.01.2024 08:30:00.226 | Info | News Block active.
23.01.2024 08:45:00.243 | Info | News Block active.
23.01.2024 12:30:00.832 | Trade | Executing Market Order to Sell 54000 EURUSD
23.01.2024 12:30:00.832 | Trade | → Executing Market Order to Sell 54000 EURUSD SUCCEEDED, Position PID1
23.01.2024 12:30:00.832 | Trade | Modifying position PID1 (SL: 1,08768, TP: 1,08321)
23.01.2024 12:30:00.832 | Trade | → Modifying position PID1 (SL: 1,08768, TP: 1,08321) SUCCEEDED, Position PID1
23.01.2024 12:30:00.832 | Info | SL/TP OK: SL=1,08768 (14,9p) TP3=1,08321 RR=1:2,00
23.01.2024 12:30:00.832 | Info | TRADE #1 Sell | Score:3/4 | Pat:Bearish Engulfing
